Date,Note,Amount,Cash Flow,Category,Month,Day,Year
2018-11-07,2 bread packets,57.0,Expense,Food & Beverage,11,7,2018
2018-09-07,3.4 Lit Petrol,360.0,Expense,Transport,9,7,2018
2018-09-07,Toast packet,20.0,Expense,Food & Beverage,9,7,2018
2018-09-07,Shev bhaji sev pav kg,60.0,Expense,Food & Beverage,9,7,2018
2018-08-07,Ola cab - eye institute to Current Residence CHS,185.0,Expense,Transport,8,7,2018
2018-08-07,3 cutting chai,30.0,Expense,Food & Beverage,8,7,2018
2018-08-07,eye drop,153.0,Expense,Health & Grooming,8,7,2018
2018-08-07,Hospital consultation,500.0,Expense,Health & Grooming,8,7,2018
2018-08-07,Ola cab - Current Residence CHS to eye institute,130.0,Expense,Transport,8,7,2018
2018-08-07,To and Fro Cab Fare Contribution,675.0,Expense,Transport,8,7,2018
2018-07-07,Place 4 to Place 0,10.0,Expense,Transport,7,7,2018
2018-07-07,At restaurant,2.0,Expense,Food & Beverage,7,7,2018
2018-06-07,At restaurant,760.0,Expense,Food & Beverage,6,7,2018
2018-06-07,Park Inn Goa,100.0,Expense,Transport,6,7,2018
2018-05-07,Terminal 1 to Terminal 2,83.0,Expense,Transport,5,7,2018
2018-05-07,cutting chai,7.0,Expense,Food & Beverage,5,7,2018
2018-05-07,Current Residence to Place 0,15.0,Expense,Transport,5,7,2018
2018-05-07,Place 0 to Place P,20.0,Expense,Transport,5,7,2018
2018-04-07,Doctor Fees,100.0,Expense,Health & Grooming,4,7,2018
2018-04-07,Shaving,50.0,Expense,Health & Grooming,4,7,2018
2018-04-07,2 Thyroid (1000) + cholesterol (220) + uric acid (220),1440.0,Expense,Health & Grooming,4,7,2018
2018-03-07,Half lit  milk,36.0,Expense,Food & Beverage,3,7,2018
2018-03-07,Current Residence - Tata Play recharge,154.0,Expense,Subscriptions & Utilities,3,7,2018
2018-02-07,Supermart,1595.0,Expense,Household,2,7,2018
2018-02-07,Place 1 bridge to Current Residence 2 seats,50.0,Expense,Transport,2,7,2018
2018-02-07,2 Place 6 Stand to MS,20.0,Expense,Transport,2,7,2018
2018-02-07,Face towels + shampoo,626.0,Expense,Household,2,7,2018
2018-02-07,2 Place 1 to  mall,26.0,Expense,Transport,2,7,2018
